Bus,busmap
way/1223405794-380,DE0 0
way/1245826064-380,DE0 0
way/1271587268-400,DK0 0
way/1280840212-380,DE0 0
way/1280843651-380,DE0 0
way/1282733005-380,DE0 24
way/1284726676-400,DK0 0
way/1303270458-380,DE0 0
way/130794504-220,DE0 0
way/131339683-400,DK0 0
way/1327333163-380,DE0 0
way/132814303-220,DE0 0
way/133082281-400,DK0 0
way/133342285-220,DE0 0
way/133537926-400,PL0 0
way/135598292-220,PL0 0
way/136034396-380,DE0 0
way/137197826-380,DE0 25
way/137602559-380,DE0 0
way/139452056-400,PL0 0
way/143854536-380,DE0 0
way/143882655-380,DE0 26
way/143903369-380,DE0 0
way/144646702-400,PL0 0
way/145002769-380,DE0 0
way/145037309-220,PL0 0
way/145680894-220,DE0 0
way/146962222-220,DE0 0
way/147521567-380,DE0 0
way/148060965-400,PL0 0
way/148197330-220,PL0 0
way/148446247-380,DE0 0
way/149256409-380,DE0 27
way/149306820-400,CZ0 0
way/149987048-380,DE0 0
way/150200540-380,DE0 0
way/151967290-380,DE0 0
way/151967291-380,DE0 0
way/152018146-380,DE0 0
way/152107815-380,DE0 0
way/152261133-380,DE0 0
way/152403632-380,DE0 0
way/152924498-380,DE0 0
way/152924508-220,DE0 0
way/152973139-380,DE0 0
way/153838553-220,PL0 0
way/154510504-400,PL0 0
way/154838041-400,PL0 0
way/154894455-400,PL0 0
way/156402422-220,DE0 0
way/156673636-380,DE0 0
way/156673637-380,DE0 28
way/156676050-220,DE0 0
way/156960655-380,DE0 0
way/157164284-220,DE0 29
way/157328339-380,DE0 30
way/157806991-380,DE0 31
way/158232924-220,PL0 0
way/160584794-380,DE0 0
way/160792651-400,DK0 0
way/160929097-220,DE0 0
way/166710856-400,PL0 0
way/166838338-400,PL0 0
way/167352587-220,DE0 32
way/169244940-380,DE0 0
way/170123812-400,DE0 33
way/170249563-220,PL0 0
way/170316833-220,PL0 0
way/170368942-220,PL0 0
way/171383831-220,PL0 0
way/171917072-400,PL0 0
way/173582810-400,PL0 0
way/173663820-400,DK0 0
way/174152948-400,CZ0 0
way/175406958-400,PL0 0
way/177749653-220,PL0 0
way/178756295-220,PL0 0
way/178838661-400,PL0 0
way/180535363-220,PL0 0
way/180542657-400,PL0 0
way/183945016-220,PL0 0
way/184899160-220,PL0 0
way/185454704-220,PL0 0
way/185459155-220,PL0 0
way/18629425-380,DE0 0
way/189501431-400,PL0 0
way/189851841-220,PL0 0
way/191035265-220,PL0 0
way/191352746-220,PL0 0
way/194903381-400,PL0 0
way/197827799-400,CZ0 0
way/198448981-380,DE0 0
way/199098050-400,PL0 0
way/199098053-400,PL0 0
way/199098055-220,PL0 0
way/202747445-380,DE0 0
way/206289192-380,DE0 0
way/207248812-380,DE0 0
way/215282393-400,PL0 0
way/216975352-220,PL0 0
